rank,model_id,downloads,likes,model_type,architectures,parameters (str),parameters,library,is_gated,is_moe,config_class,is_supported,Year
34,meta-llama/Llama-3.2-3B-Instruct,2393297,2131,llama,LlamaForCausalLM,3B,3000000000,transformers,True,False,,False,2024
35,Qwen/Qwen3-0.6B-FP8,2375588,60,qwen3,Qwen3ForCausalLM,0.6B,600000000,transformers,False,False,Qwen3Config,True,2025
36,Qwen/Qwen3-14B,2374715,398,qwen3,Qwen3ForCausalLM,14B,14000000000,transformers,False,False,Qwen3Config,True,2025
37,Qwen/Qwen2.5-7B-Instruct-AWQ,2266831,43,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
38,RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,2209766,4,llama,LlamaForCausalLM,1B,1000000000,,False,False,LlamaConfig,True,2024
39,nvidia/Gemma-4-31B-IT-NVFP4,2174105,482,gemma4,Gemma4ForConditionalGeneration,31B,31000000000,Model Optimizer,False,False,Gemma4Config,False,2026
40,Qwen/Qwen3-8B-AWQ,2149254,42,qwen3,Qwen3ForCausalLM,8B,8000000000,transformers,False,False,Qwen3Config,True,2025
41,deepseek-ai/DeepSeek-R1-0528,2041838,2448,deepseek_v3,DeepseekV3ForCausalLM,685B,684531386000,transformers,False,True,DeepseekV3Config,False,2025
42,Qwen/Qwen2.5-14B-Instruct-AWQ,2005105,35,qwen2,Qwen2ForCausalLM,14B,14000000000,transformers,False,False,Qwen2Config,True,2024
43,EleutherAI/pythia-70m-deduped,1936328,28,gpt_neox,GPTNeoXForCausalLM,0.1B,95592496,transformers,False,False,GPTNeoXConfig,False,2023
44,Qwen/Qwen3-Coder-30B-A3B-Instruct,1915273,1065,qwen3_moe,Qwen3MoeForCausalLM,30B,30000000000,transformers,False,True,Qwen3MoeConfig,False,2025
45,deepseek-ai/DeepSeek-V4-Flash,1904105,1136,deepseek_v4,DeepseekV4ForCausalLM,158B,158069433298,transformers,False,True,DeepseekV4Config,False,2026
46,Qwen/Qwen2.5-7B,1803819,284,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
47,moonshotai/Kimi-K2-Instruct-0905,1750197,711,kimi_k2,DeepseekV3ForCausalLM,1026B,1026470735448,transformers,False,True,DeepseekV3Config,False,2025
48,Qwen/Qwen3-30B-A3B,1681384,886,qwen3_moe,Qwen3MoeForCausalLM,30B,30000000000,transformers,False,True,Qwen3MoeConfig,False,2025
49,meta-llama/Meta-Llama-3-8B-Instruct,1669004,4522,llama,LlamaForCausalLM,8B,8000000000,transformers,True,False,,False,2024
50,Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,1661113,17,qwen2,Qwen2ForCausalLM,14B,14000000000,transformers,False,False,Qwen2Config,True,2024
51,HuggingFaceTB/SmolLM2-135M-Instruct,1656162,320,llama,LlamaForCausalLM,0.13B,134515008,transformers,False,False,LlamaConfig,True,2024
52,Qwen/Qwen3-14B-AWQ,1651368,64,qwen3,Qwen3ForCausalLM,14B,14000000000,transformers,False,False,Qwen3Config,True,2025
53,nvidia/DeepSeek-R1-0528-NVFP4-v2,1651156,23,deepseek_v3,DeepseekV3ForCausalLM,394B,393632819968,Model Optimizer,False,True,DeepseekV3Config,False,2025
54,meta-llama/Llama-3.2-1B,1617590,2385,llama,LlamaForCausalLM,1B,1000000000,transformers,True,False,,False,2024
55,apple/OpenELM-1_1B-Instruct,1613024,75,openelm,OpenELMForCausalLM,,,transformers,False,False,,False,2024
56,zai-org/GLM-5-FP8,1609868,174,glm_moe_dsa,GlmMoeDsaForCausalLM,754B,753910024032,transformers,False,True,GlmMoeDsaConfig,False,2026
57,prefeitura-rio/Rio-3.0-Open-Mini,1587610,8,qwen3,Qwen3ForCausalLM,4B,4022468096,transformers,False,False,Qwen3Config,True,2026
58,microsoft/Phi-4-mini-instruct,1538981,740,phi3,Phi3ForCausalLM,,,transformers,False,False,Phi3Config,True,2025
59,openai-community/gpt2-large,1452392,351,gpt2,GPT2LMHeadModel,0.81B,811778816,transformers,False,False,GPT2Config,False,2022
60,ibm-research/PowerMoE-3b,1429472,19,granitemoe,GraniteMoeForCausalLM,3b,3000000000,transformers,False,True,GraniteMoeConfig,False,2024
61,Qwen/Qwen2-0.5B-Instruct,1392245,200,qwen2,Qwen2ForCausalLM,0.5B,500000000,transformers,False,False,Qwen2Config,True,2024
62,Qwen/Qwen2.5-Coder-14B-Instruct,1388406,156,qwen2,Qwen2ForCausalLM,14B,14000000000,transformers,False,False,Qwen2Config,True,2024
63,nvidia/Kimi-K2.5-NVFP4,1385228,82,kimi_k25,KimiK25ForConditionalGeneration,,,Model Optimizer,False,False,KimiK25Config,False,2026
64,meta-llama/Llama-3.1-8B,1356017,2192,llama,LlamaForCausalLM,8B,8000000000,transformers,True,False,,False,2024
65,datajuicer/LLaMA-1B-dj-refine-150B,1300497,3,llama,LlamaForCausalLM,,,transformers,False,False,LlamaConfig,True,2023
66,RedHatAI/Qwen2.5-1.5B-quantized.w8a8,1287570,3,qwen2,Qwen2ForCausalLM,1.5B,1500000000,,False,False,Qwen2Config,True,2024
67,meta-llama/Llama-3.2-3B,1208271,778,llama,LlamaForCausalLM,3B,3000000000,transformers,True,False,,False,2024
68,deepseek-ai/DeepSeek-V3,1197052,4069,deepseek_v3,DeepseekV3ForCausalLM,685B,684531386000,transformers,False,True,DeepseekV3Config,False,2024
69,Qwen/Qwen3-30B-A3B-Instruct-2507,1192354,809,qwen3_moe,Qwen3MoeForCausalLM,30B,30000000000,transformers,False,True,Qwen3MoeConfig,False,2025
70,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1192030,598,deepseek_v2,DeepseekV2ForCausalLM,16B,15706484224,transformers,False,True,DeepseekV2Config,False,2024
71,HuggingFaceTB/SmolLM2-135M,1180323,191,llama,LlamaForCausalLM,0.13B,134515008,transformers,False,False,LlamaConfig,True,2024
72,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,1165382,36,qwen2,Qwen2ForCausalLM,32B,32000000000,transformers,False,False,Qwen2Config,True,2024
73,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,1152338,735,nemotron_h,NemotronHForCausalLM,30B,30000000000,transformers,False,False,NemotronHConfig,False,2025
74,Qwen/Qwen2.5-32B-Instruct-AWQ,1148667,99,qwen2,Qwen2ForCausalLM,32B,32000000000,transformers,False,False,Qwen2Config,True,2024
75,Qwen/Qwen3-Coder-Next,1138638,1369,qwen3_next,Qwen3NextForCausalLM,80B,79674391296,transformers,False,False,Qwen3NextConfig,False,2026
76,sshleifer/tiny-gpt2,1062991,35,gpt2,GPT2LMHeadModel,,,transformers,False,False,GPT2Config,False,2022
77,ricdomolm/mini-coder-1.7b,1062282,5,qwen3,Qwen3ForCausalLM,1.7b,1700000000,transformers,False,False,Qwen3Config,True,2025
78,deepseek-ai/DeepSeek-V2-Lite-Chat,1053984,138,deepseek_v2,DeepseekV2ForCausalLM,16B,15706484224,transformers,False,True,DeepseekV2Config,False,2024
79,mistralai/Mistral-7B-v0.1,1027198,4090,mistral,MistralForCausalLM,7B,7000000000,transformers,False,False,MistralConfig,True,2023
80,h2oai/h2ovl-mississippi-800m,1021492,40,h2ovl_chat,H2OVLChatModel,0.83B,826295808,transformers,False,False,H2OVLChatConfig,False,2024
81,zai-org/GLM-5.1-FP8,1010578,105,glm_moe_dsa,GlmMoeDsaForCausalLM,754B,753910024032,transformers,False,True,GlmMoeDsaConfig,False,2026
82,Qwen/Qwen2.5-1.5B-Instruct-AWQ,1004402,7,qwen2,Qwen2ForCausalLM,1.5B,1500000000,transformers,False,False,Qwen2Config,True,2024
83,Qwen/Qwen2.5-72B-Instruct-AWQ,1000200,77,qwen2,Qwen2ForCausalLM,72B,72000000000,transformers,False,False,Qwen2Config,True,2024
84,TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,999499,10,llama,LlamaForCausalLM,1.1B,1100000000,transformers,False,False,LlamaConfig,True,2023
85,RedHatAI/Llama-3.2-1B-Instruct-FP8,999242,3,llama,LlamaForCausalLM,1B,1000000000,,False,False,LlamaConfig,True,2024
86,h2oai/h2ovl-mississippi-2b,989633,42,h2ovl_chat,H2OVLChatModel,2b,2000000000,transformers,False,False,H2OVLChatConfig,False,2024
87,meta-llama/Llama-3.3-70B-Instruct,970208,2764,llama,LlamaForCausalLM,70B,70000000000,transformers,True,False,,False,2024
88,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,967178,42,qwen3_vl_moe,Qwen3VLMoeForConditionalGeneration,30B,30000000000,transformers,False,True,Qwen3VLMoeConfig,False,2025
89,Qwen/Qwen3-32B-AWQ,954780,131,qwen3,Qwen3ForCausalLM,32B,32000000000,transformers,False,False,Qwen3Config,True,2025
90,nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,937339,0,llama,LlamaForCausalLM,1.7B,1700000000,,False,False,LlamaConfig,True,2024
91,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,908100,306,nemotron_h,NemotronHForCausalLM,120B,120000000000,transformers,False,False,NemotronHConfig,False,2026
92,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,897478,341,nemotron_h,NemotronHForCausalLM,30B,30000000000,transformers,False,False,NemotronHConfig,False,2025
93,llamafactory/tiny-random-Llama-3,894221,3,llama,LlamaForCausalLM,0.0B,4112464,transformers,False,False,LlamaConfig,True,2024
94,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,893101,180,qwen3_moe,Qwen3MoeForCausalLM,30B,30000000000,transformers,False,True,Qwen3MoeConfig,False,2025
95,Qwen/Qwen2.5-Coder-32B-Instruct,869409,2019,qwen2,Qwen2ForCausalLM,32B,32000000000,transformers,False,False,Qwen2Config,True,2024
96,google/t5gemma-s-s-prefixlm,857221,4,t5gemma,T5GemmaForConditionalGeneration,0.31B,312517632,transformers,True,False,,False,2025
97,Qwen/Qwen2.5-1.5B,844925,177,qwen2,Qwen2ForCausalLM,1.5B,1500000000,transformers,False,False,Qwen2Config,True,2024
98,kaitchup/Phi-3-mini-4k-instruct-gptq-4bit,837136,2,phi3,Phi3ForCausalLM,3.8B,3822095360,transformers,False,False,Phi3Config,True,2024
99,nvidia/Gemma-4-26B-A4B-NVFP4,835255,55,gemma4,Gemma4ForConditionalGeneration,26B,26000000000,Model Optimizer,False,False,Gemma4Config,False,2026
100,Qwen/Qwen2.5-72B-Instruct,830271,940,qwen2,Qwen2ForCausalLM,72B,72000000000,transformers,False,False,Qwen2Config,True,2024
101,moonshotai/Kimi-K2-Instruct,822767,2358,kimi_k2,DeepseekV3ForCausalLM,1026B,1026470731056,transformers,False,True,DeepseekV3Config,False,2025
102,meta-llama/Llama-2-7b-hf,819467,2304,llama,LlamaForCausalLM,7b,7000000000,transformers,True,False,,False,2023
103,Qwen/Qwen3-4B-Base,815704,89,qwen3,Qwen3ForCausalLM,4B,4000000000,transformers,False,False,Qwen3Config,True,2025
104,Qwen/Qwen3-4B-Instruct-2507-FP8,802745,75,qwen3,Qwen3ForCausalLM,4B,4000000000,transformers,False,False,Qwen3Config,True,2025
105,cyankiwi/GLM-4.7-Flash-AWQ-4bit,792549,52,glm4_moe_lite,Glm4MoeLiteForCausalLM,32B,32140559382,transformers,False,True,Glm4MoeLiteConfig,False,2026
106,MiniMaxAI/MiniMax-M2.5,782583,1479,minimax_m2,MiniMaxM2ForCausalLM,229B,228703644928,transformers,False,False,MiniMaxM2Config,False,2026
107,nvidia/Qwen3.5-397B-A17B-NVFP4,779622,98,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,397B,397000000000,Model Optimizer,False,True,Qwen3_5MoeConfig,False,2026
108,google/gemma-3-1b-it,778611,954,gemma3_text,Gemma3ForCausalLM,1b,1000000000,transformers,True,False,,False,2025
109,meta-llama/Llama-3.1-70B-Instruct,770942,914,llama,LlamaForCausalLM,70B,70000000000,transformers,True,False,,False,2024
110,microsoft/phi-4,770198,2241,phi3,Phi3ForCausalLM,,,transformers,False,False,Phi3Config,True,2024
111,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,769232,1559,qwen2,Qwen2ForCausalLM,32B,32000000000,transformers,False,False,Qwen2Config,True,2025
112,zai-org/GLM-4.7-Flash,742252,1726,glm4_moe_lite,Glm4MoeLiteForCausalLM,31B,31221488576,transformers,False,True,Glm4MoeLiteConfig,False,2026
113,Qwen/Qwen2.5-32B-Instruct,710658,350,qwen2,Qwen2ForCausalLM,32B,32000000000,transformers,False,False,Qwen2Config,True,2024
114,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,705335,359,nemotron_h,NemotronHForCausalLM,120B,120000000000,transformers,False,False,NemotronHConfig,False,2026
115,microsoft/Phi-3.5-mini-instruct,699357,980,phi3,Phi3ForCausalLM,3.8B,3821079552,transformers,False,False,Phi3Config,True,2024
116,KomeijiForce/bart-large-emojilm,696820,0,bart,BartForConditionalGeneration,,,transformers,False,False,BartConfig,False,2023
117,Qwen/Qwen2.5-Coder-3B,696015,49,qwen2,Qwen2ForCausalLM,3B,3000000000,transformers,False,False,Qwen2Config,True,2024
118,zerofata/L3.3-GeneticLemonade-Final-v2-70B,693157,11,llama,LlamaForCausalLM,70B,70000000000,transformers,False,False,LlamaConfig,True,2025
119,sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,686794,46,qwen3_5,Qwen3_5ForConditionalGeneration,27B,27000000000,transformers,False,False,Qwen3_5Config,False,2026
120,microsoft/Phi-3-mini-4k-instruct,677785,1420,phi3,Phi3ForCausalLM,3.8B,3821079552,transformers,False,False,Phi3Config,True,2024
121,Maykeye/TinyLLama-v0,666714,43,llama,LlamaForCausalLM,0.0B,4621392,transformers,False,False,LlamaConfig,True,2023
122,microsoft/Phi-tiny-MoE-instruct,661733,38,phimoe,PhiMoEForCausalLM,3.8B,3755220288,transformers,False,True,PhiMoEConfig,False,2025
123,Qwen/Qwen2-7B-Instruct,658786,684,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
124,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,610997,89,llama,LlamaForCausalLM,8B,8000000000,transformers,False,False,LlamaConfig,True,2024
125,HuggingFaceM4/tiny-random-LlamaForCausalLM,604796,20,llama,LlamaForCausalLM,,,transformers,False,False,LlamaConfig,True,2023
126,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,596907,833,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2025
127,QuantTrio/Qwen3-Coder-30B-A3B-Instruct-AWQ,595115,6,qwen3_moe,Qwen3MoeForCausalLM,30B,30000000000,transformers,False,True,Qwen3MoeConfig,False,2025
128,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,593227,1507,qwen2,Qwen2ForCausalLM,1.5B,1500000000,transformers,False,False,Qwen2Config,True,2025
129,Qwen/Qwen3-1.7B-Base,589132,72,qwen3,Qwen3ForCausalLM,1.7B,1700000000,transformers,False,False,Qwen3Config,True,2025
130,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,588830,147,qwen3_moe,Qwen3MoeForCausalLM,235B,235000000000,transformers,False,True,Qwen3MoeConfig,False,2025
131,state-spaces/mamba-130m-hf,561202,70,mamba,MambaForCausalLM,0.13B,129135360,transformers,False,False,MambaConfig,False,2024
132,Qwen/Qwen2.5-Coder-7B,561051,146,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
133,MiniMaxAI/MiniMax-M2.7,559884,1130,minimax_m2,MiniMaxM2ForCausalLM,229B,228703644928,transformers,False,False,MiniMaxM2Config,False,2026
134,Qwen/Qwen2.5-3B-Instruct-AWQ,558050,16,qwen2,Qwen2ForCausalLM,3B,3000000000,transformers,False,False,Qwen2Config,True,2024
135,nvidia/Llama-3.1-8B-Instruct-FP8,554633,35,llama,LlamaForCausalLM,8B,8000000000,transformers,False,False,LlamaConfig,True,2024
136,hmellor/tiny-random-BambaForCausalLM,550541,0,bamba,BambaForCausalLM,0.03B,33110760,transformers,False,False,BambaConfig,False,2025
137,GSAI-ML/LLaDA-8B-Instruct,548558,358,llada,LLaDAModelLM,8B,8000000000,transformers,False,False,LLaDAConfig,False,2025
138,deepseek-ai/DeepSeek-V2-Lite,545099,175,deepseek_v2,DeepseekV2ForCausalLM,16B,15706484224,transformers,False,True,DeepseekV2Config,False,2024
139,peft-internal-testing/tiny-random-OPTForCausalLM,540332,0,opt,OPTForCausalLM,0.0B,812404,transformers,False,False,OPTConfig,False,2025
140,microsoft/phi-2,540091,3452,phi,PhiForCausalLM,2.8B,2779683840,transformers,False,False,PhiConfig,False,2023
141,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,530915,44,llama,LlamaForCausalLM,8B,8000000000,transformers,False,False,LlamaConfig,True,2024
142,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,530292,644,qwen2,Qwen2ForCausalLM,14B,14000000000,transformers,False,False,Qwen2Config,True,2025
143,deepseek-ai/DeepSeek-V3-0324,529501,3113,deepseek_v3,DeepseekV3ForCausalLM,685B,684531386000,transformers,False,True,DeepseekV3Config,False,2025
144,Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,524379,40,qwen2,Qwen2ForCausalLM,32B,32000000000,transformers,False,False,Qwen2Config,True,2024
145,kosbu/Llama-3.3-70B-Instruct-AWQ,519127,11,llama,LlamaForCausalLM,70B,70000000000,transformers,False,False,LlamaConfig,True,2024
146,Qwen/Qwen3-1.7B-GPTQ-Int8,516847,7,qwen3,Qwen3ForCausalLM,1.7B,1700000000,transformers,False,False,Qwen3Config,True,2025
147,bineric/lynx-instruct-30b,513534,3,qwen3_moe,Qwen3MoeForCausalLM,30b,30000000000,transformers,False,True,Qwen3MoeConfig,False,2026
148,Qwen/Qwen2.5-3B,511169,179,qwen2,Qwen2ForCausalLM,3B,3000000000,,False,False,Qwen2Config,True,2024
149,bigscience/bloom-560m,510435,372,bloom,BloomForCausalLM,0.56B,559214592,transformers,False,False,BloomConfig,False,2022
150,Qwen/Qwen2.5-Math-7B,504824,111,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
151,nvidia/NVIDIA-Nemotron-Nano-9B-v2,497374,492,nemotron_h,NemotronHForCausalLM,9B,9000000000,transformers,False,False,NemotronHConfig,False,2025
152,Qwen/Qwen3-4B-Thinking-2507,491893,587,qwen3,Qwen3ForCausalLM,4B,4000000000,transformers,False,False,Qwen3Config,True,2025
153,mlx-community/gpt-oss-20b-MXFP4-Q8,485943,59,gpt_oss,GptOssForCausalLM,20b,20000000000,mlx,False,False,GptOssConfig,False,2025
154,TechxGenus/DeepSeek-Coder-V2-Lite-Instruct-AWQ,485091,9,deepseek_v2,DeepseekV2ForCausalLM,16B,15706484224,transformers,False,True,DeepseekV2Config,False,2024
155,unsloth/GLM-4.7-Flash,476367,15,glm4_moe_lite,Glm4MoeLiteForCausalLM,31B,31221488576,transformers,False,True,Glm4MoeLiteConfig,False,2026
156,lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-4bit,473515,11,qwen3,Qwen3ForCausalLM,8B,8000000000,mlx,False,False,Qwen3Config,True,2025
157,LiquidAI/LFM2.5-1.2B-Instruct,471900,587,lfm2,Lfm2ForCausalLM,1.2B,1200000000,transformers,False,False,Lfm2Config,False,2026
158,Qwen/Qwen2-0.5B,471354,166,qwen2,Qwen2ForCausalLM,0.5B,500000000,transformers,False,False,Qwen2Config,True,2024
159,Qwen/Qwen3-235B-A22B,471133,1092,qwen3_moe,Qwen3MoeForCausalLM,235B,235000000000,transformers,False,True,Qwen3MoeConfig,False,2025
160,QuantTrio/DeepSeek-V3.2-AWQ,468762,11,deepseek_v32,DeepseekV32ForCausalLM,685B,685011996928,transformers,False,True,,False,2025
161,huihui-ai/Qwen2.5-72B-Instruct-abliterated,464321,45,qwen2,Qwen2ForCausalLM,72B,72000000000,transformers,False,False,Qwen2Config,True,2024
162,trl-internal-testing/tiny-GptOssForCausalLM,459014,4,gpt_oss,GptOssForCausalLM,0.0B,3220472,transformers,False,False,GptOssConfig,False,2025
163,Qwen/Qwen3-8B-FP8,456828,59,qwen3,Qwen3ForCausalLM,8B,8000000000,transformers,False,False,Qwen3Config,True,2025
164,LilaRest/gemma-4-31B-it-NVFP4-turbo,456691,283,gemma4,Gemma4ForCausalLM,31B,31000000000,transformers,False,False,Gemma4Config,False,2026
165,allenai/Olmo-3-7B-Instruct,453888,128,olmo3,Olmo3ForCausalLM,7B,7000000000,transformers,False,False,Olmo3Config,False,2025
166,humarin/chatgpt_paraphraser_on_T5_base,452351,193,t5,T5ForConditionalGeneration,0.22B,222903552,transformers,False,False,T5Config,False,2023
167,EleutherAI/gpt-neo-125m,451935,229,gpt_neo,GPTNeoForCausalLM,0.15B,150364416,transformers,False,False,GPTNeoConfig,False,2022
168,bigscience/bloomz-560m,448631,137,bloom,BloomForCausalLM,0.56B,559214592,transformers,False,False,BloomConfig,False,2022
169,Qwen/Qwen2.5-Coder-1.5B-Instruct,447237,121,qwen2,Qwen2ForCausalLM,1.5B,1500000000,transformers,False,False,Qwen2Config,True,2024
170,NexVeridian/Qwen3-Coder-Next-8bit,445040,3,qwen3_next,Qwen3NextForCausalLM,22B,22409422592,mlx,False,False,Qwen3NextConfig,False,2026
171,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,444062,150,nemotron_h,NemotronHForCausalLM,30B,30000000000,transformers,False,False,NemotronHConfig,False,2025
172,cyankiwi/Qwen3-Next-80B-A3B-Instruct-AWQ-4bit,440928,63,qwen3_next,Qwen3NextForCausalLM,80B,80000000000,transformers,False,False,Qwen3NextConfig,False,2025
173,Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,435887,13,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
174,unsloth/Llama-3.1-8B-Instruct,435599,11,llama,LlamaForCausalLM,8B,8000000000,,False,False,LlamaConfig,True,2025
175,facebook/opt-1.3b,434869,184,opt,OPTForCausalLM,1.3b,1300000000,transformers,False,False,OPTConfig,False,2022
176,trl-internal-testing/tiny-random-LlamaForCausalLM,431461,8,llama,LlamaForCausalLM,0.0B,1032276,transformers,False,False,LlamaConfig,True,2023
177,Qwen/Qwen3-4B-AWQ,430503,27,qwen3,Qwen3ForCausalLM,4B,4000000000,transformers,False,False,Qwen3Config,True,2025
178,unsloth/Qwen2.5-7B-Instruct,423304,25,qwen2,Qwen2ForCausalLM,7B,7000000000,transformers,False,False,Qwen2Config,True,2024
179,Qwen/Qwen3-Coder-Next-FP8,423234,146,qwen3_next,Qwen3NextForCausalLM,80B,79679212800,transformers,False,False,Qwen3NextConfig,False,2026
